,objectname,rating,numplays,average,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,itemtype,,,,,,,,,,,,,
26,"1825 Extension Kit K1: Supplementary Tiles","9","","7.00781","1825 Extension Kit K1: Supplementary Tiles","2","5","120","120","120","1999","expansion",,,,,,,,,,,,,
27,"1825 Extension Kit K2: Advanced Trains","10","","6.83333","1825 Extension Kit K2: Advanced Trains","2","5","120","120","120","1999","expansion",,,,,,,,,,,,,
28,"1825 Extension Kit K3: Phase Four","10","","6.76","1825 Extension Kit K3: Phase Four","2","5","120","120","120","1999","expansion",,,,,,,,,,,,,
29,"1825 Extension Kit K5: Minor Companies for Unit 2","10","","7","1825 Extension Kit K5: Minor Companies for Unit 2","2","4","120","120","120","2001","expansion",,,,,,,,,,,,,
30,"1825 Extension Kit K6: Advanced Tiles","8","","6.52083","1825 Extension Kit K6: Advanced Tiles","2","5","120","120","120","2004","expansion",,,,,,,,,,,,,
31,"1825 Extension Kit K7: London,"17471","9","0","thing","1825 Extension Kit K7: London, Tilbury and Southend Railway","2","5","120","120","",,,,,,,,,,,,,
32,"1825 Regional Kit R1: Wales","10","","6.89286","1825 Regional Kit R1: Wales","2","5","120","120","120","1995","expansion",,,,,,,,,,,,,
33,"1825 Regional Kit R2: South West England","10","","7.02812","1825 Regional Kit R2: South West England","2","5","120","120","120","2004","expansion",,,,,,,,,,,,,
34,"1825 Regional Kit R3: North Norfolk","10","","6.94286","1825 Regional Kit R3: North Norfolk","2","5","120","120","120","1999","expansion",,,,,,,,,,,,,
35,"1825 Unit 1","10","8","6.83388","1825 Unit 1","2","5","180","180","180","1994","standalone",,,,,,,,,,,,,
36,"1825 Unit 2","10","2","7.48946","1825 Unit 2","2","4","180","180","180","2000","standalone",,,,,,,,,,,,,
37,"1825 Unit 3","10","2","7.5628","1825 Unit 3","2","2","120","120","120","2004","standalone",,,,,,,,,,,,,
38,"1826: Railroading in France and Belgium from 1826","10","5","7.3989","1826: Railroading in France and Belgium from 1826","2","6","210","210","210","2000","standalone",,,,,,,,,,,,,
39,"1829 Mainline","9","3","6.75947","1829 Mainline","1","7","240","240","240","2005","standalone",,,,,,,,,,,,,
40,"1829 Northern Board","10","6","6.85393","1829 Northern Board","2","9","360","360","360","1981","standalone",,,,,,,,,,,,,
41,"1829 Southern Board","10","3", shame to all of you 18xx designers,"10085380","5.70802","7.03268","3.7619","4289","384","thing","1974",,,,,,,,,,,,,
42,"1830 Cardgame","8","","6.28548","1830 Cardgame","3","6","120","120","120","2012","standalone",,,,,,,,,,,,,
43,"1830 France","7","4","6.80208","18FR","3","6","360","360","360","2010","standalone",,,,,,,,,,,,,
44,"1830 Lummerland","4","3","4.68182","1830 Lummerland","2","4","60","60","60","1986","standalone",,,,,,,,,,,,,
45,"1830: Chattanooga Promotional Card","6","","7.16154","1830: Chattanooga Promotional Card","2","7","0","0","0","2011","expansion",,,,,,,,,,,,,
46,"1830: Railways & Robber Barons","10","115","7.86439","1830: Railways & Robber Barons","2","7","360","360","180","2011","standalone",,,,,,,,,,,,,
47,"1830: Schienenleger & Spekulanten","10","115","7.86439","1830: Railways & Robber Barons","2","7","360","360","180","2011","standalone",,,,,,,,,,,,,
48,"1830: Take A Ride on the Reading","9","","7.02759","1830: Take A Ride on the Reading","3","6","300","300","300","1987","expansion",,,,,,,,,,,,,
49,"1830: The Coalfields","8","3","7.40385","1830: The Coalfields","3","6","300","300","300","1998","expansion",,,,,,,,,,,,,
50,"1830: The Game of Railroads and Robber Barons","10","115","7.28552","thing","1830: Railways & Robber Barons","2","7","360","360","180","",,,,,,,,,,,,,
51,"1830: The Nickel Plate","8","","7.83333","1830: The Nickel Plate","2","6","0","0","0","2005","expansion",,,,,,,,,,,,,
52,"1830: The Pere Marquette","6","","7.57143","1830: The Pere Marquette","3","7","300","300","300","1996","expansion",,,,,,,,,,,,,
53,"1830: Variant Box #1","8","4","7.21875","1830: Variant Box #1","3","6","240","240","240","2006","expansion",,,,,,,,,,,,,
54,"1830: Wabash Cannonball Variant","7","","7.025","1830: Wabash Cannonball Variant","3","6","240","240","240","2010","expansion",,,,,,,,,,,,,
55,"1831","10","1","7.69024","1831","3","10","600","600","600","1996","standalone",,,,,,,,,,,,,
56,"1831","10","1","7.69024","1831","3","10","600","600","600","2014","standalone",,,,,,,,,,,,,
57,"1832: The South","9","2","7.60476","1832: The South","2","7","270","270","270","2006","standalone",,,,,,,,,,,,,
58,"1834","7","1","7.642","1834","3","5","240","240","120","2018","standalone",,,,,,,,,,,,,
59,"1835","10","69","5.99864","thing","1835","3","7","360","360","360","",,,,,,,,,,,,,
60,"1835 Coalfields","7","","6.5","1835 Schlesien","3","7","360","360","360","2000","expansion",,,,,,,,,,,,,
61,"1835 Schlesien","7","","12492494","20","thing","1835 Schlesien","3","7","360","360","",,,,,,,,,,,,,
62,"1836","8","1","8.15385","1836","3","5","150","150","90","2019","standalone",,,,,,,,,,,,,
63,"1837","7","2","7.41831","1837: Rail Building in the Austro-Hungarian Empire","3","7","360","360","360","1994","standalone",,,,,,,,,,,,,
64,"1837 SX","6","1","7.27778","18SX","3","7","300","300","300","0","standalone",,,,,,,,,,,,,
65,"1837: Rail Building in the Austro-Hungarian Empire","8","2",,,,,,,,,,,,,,,,,,,,,,
66,But I have two issues with the current production: no mounted board (but folded cardboard - never lies plain, although otherwise a great production from All Aboard Games.","","","standalone","","All-Aboard Games","English","2015","English edition",,,,,,,,,,,,,,,
67,"1838TL","4","1","10085437","12","thing","1838TL","3","8","600","600","",,,,,,,,,,,,,
68,"1839 The Netherlands","9","3","","0","16","thing","1839 The Netherlands","3","7","0","",,,,,,,,,,,,,
69,"1841","6","1","7.9173","1841","2","8","300","300","300","2006","standalone",,,,,,,,,,,,,
70,"1842: Hamburg/Schleswig Holstein","8","6","6.868","1842: Schleswig Holstein","2","7","200","200","200","2015","standalone",,,,,,,,,,,,,
71,"1842: Schleswig Holstein","8","6","6.868","1842: Schleswig Holstein","2","7","200","200","200","2000","standalone",,,,,,,,,,,,,
72,"1844/1854","9","","8.15542","1844/1854","3","7","300","300","300","2016","standalone",,,,,,,,,,,,,
73,"1844: Switzerland","9","7","8.33006","1844: Switzerland","3","7","300","300","300","2003","standalone",,,,,,,,,,,,,
74,"1846: The Race for the Midwest","9","5","8.02861","1846: The Race for the Midwest","3","5","240","240","240","2005","standalone",,,,,,,,,,,,,
75,"1847 AE: Pfalz","8","5","5.54195","thing","1847: Pfalz","3","5","180","180","180","",,,,,,,,,,,,,
76,"1848","2","1","4.76","1848","2","2","0","0","0","1998","standalone",,,,,,,,,,,,,
77,"1848: Australia","9","3","7.87105","1848: Australia","3","6","360","360","360","2009","standalone",,,,,,,,,,,,,
78,"1849: The Game of Sicilian Railways","8","12","8.14415","1849: The Game of Sicilian Railways","3","5","180","180","180","1998","standalone",,,,,,,,,,,,,
79,"1850","9","2","7.3575","1850","2","6","300","300","300","2006","standalone",,,,,,,,,,,,,
80,"1851: Kentucky & Tennessee","8","11","6.8099","1851: Kentucky & Tennessee","3","5","180","180","180","1998","standalone",,,,,,,,,,,,,
81,"1853","9","19","10085491","1284","thing","1853","3","6","180","180","",,,,,,,,,,,,,
82,"1853","8","19","6.93567","1853","3","6","180","180","180","2009","standalone",,,,,,,,,,,,,
83,"1854","10","14",,,,,,,,,,,,,,,,,,,,,,
84,The board is very brutal, but with the transparent tunnel tiles, manageable. A very different 18xx experience - very recommended. ","","","standalone","","Deep Thought Games, LLC","English","2004",,,,,,,,,,,,,,
85,"1856: Railroading in Upper Canada from 1856","8","14","7.52201","1856: Railroading in Upper Canada from 1856","3","6","300","300","300","1995","standalone",,,,,,,,,,,,,
86,"1857","8","2","7.51313","1857","3","6","240","240","120","2015","standalone",,,,,,,,,,,,,
87,"1858: The Railways of Iberia","8","1","7.1675","1858: The Railways of Iberia","3","6","240","240","240","0","standalone",,,,,,,,,,,,,
88,"1859","8","2","7.06364","1859","3","5","240","240","120","2016","standalone",,,,,,,,,,,,,
89,"1860: Locomotives of the Isle of Wight","8","","7.835","1860: Locomotives of the Isle of Wight","2","4","240","240","240","2015","expansion",,,,,,,,,,,,,
90,"1860: Railways on the Isle of Wight","7","3","7.96004","1860: Railways on the Isle of Wight","2","4","240","240","240","2004","standalone",,,,,,,,,,,,,
91,"1861: The Railways of the Russian Empire","7","5","7.55569","1861: The Railways of the Russian Empire","3","6","360","360","360","2006","standalone",,,,,,,,,,,,,
92,"1862","10","5","7.09302","1862","4","7","360","360","360","2000","standalone",,,,,,,,,,,,,
93,"1862","4","","4.45918","1862","1","2","180","180","180","1990","standalone",,,,,,,,,,,,,
94,"1862: Railway Mania in the Eastern Counties","9","","8.17145","1862: Railway Mania in the Eastern Counties","2","8","300","300","300","2013","standalone",,,,,,,,,,,,,
95,"1863","4","","5.39732","1863","1","2","180","180","180","1991","standalone",,,,,,,,,,,,,
96,"1865: Sardinia","8","2","5.72827","thing","1865: Sardinia","2","4","240","240","240","",,,,,,,,,,,,,
97,"1867: The Railways of Canada","8","2","7.684","1867: The Railways of Canada","3","6","360","360","360","2015","expansion",,,,,,,,,,,,,
98,"1868","8","","7.06125","1868","3","5","180","180","180","2017","standalone",,,,,,,,,,,,,
99,"1869","10","5","0","thing","1869: USA West","2","6","360","360","360","",,,,,,,,,,,,,
100,"1869: USA West","10","5","7.23684","1869: USA West","2","6","360","360","360","2014","standalone",,,,,,,,,,,,,
101,"1870: Railroading across the Trans Mississippi from 1870","10","9","7.44397","1870: Railroading across the Trans Mississippi from 1870","2","6","360","360","360","1992","standalone",,,,,,,,,,,,,
102,"1876","6","14","10085546","90","thing","1876","2","5","120","120","",,,,,,,,,,,,,
103,"1879","7","3","6.94868","1879","3","5","150","150","150","2014","standalone",,,,,,,,,,,,,
104,"1880: China","10","11","5.98446","thing","1880: China","3","7","300","300","300","",,,,,,,,,,,,,
105,"1881","7","2","6.68421","1881: Das Berliner Strassenbahnspiel","2","6","360","360","360","1990","standalone",,,,,,,,,,,,,
106,"1881: Berlin","8","2","6.68421","1881: Das Berliner Strassenbahnspiel","2","6","360","360","360","2016","standalone",,,,,,,,,,,,,
107,"1883","7","","7.40909","1883","2","4","300","300","180","2019","standalone",,,,,,,,,,,,,
108,"1889: History of Shikoku Railways","8","13","8.10188","1889: History of Shikoku Railways","2","6","210","210","210","2006","standalone",,,,,,,,,,,,,
109,"1891","8","","7.6404","1891","3","6","300","300","300","2006","standalone",,,,,,,,,,,,,
110,"1893: Cologne","8","1","24143741","86","thing","1893: Cologne","2","4","240","240","",,,,,,,,,,,,,
111,"1895 Namibia","7","3","6.67045","1895 Namibia","3","3","180","180","180","2004","standalone",,,,,,,,,,,,,
112,"1898","6","","7.16667","1898","0","0","0","0","0","1999","standalone",,,,,,,,,,,,,
113,"1899","8","16","6.296","1899","3","6","240","240","240","1994","standalone",,,,,,,,,,,,,
114,"18??","8","1","6.98125","18??","2","6","360","360","360","2012","expansion",,,,,,,,,,,,,
115,"18AL","8","10","7.2643","18AL","3","5","180","180","180","2000","standalone",,,,,,,,,,,,,
116,"18Ardennes","7","2","5.61529","thing","18Ardennes","3","5","300","300","300","",,,,,,,,,,,,,
117,"18BL: Bergisches Land","8","1","7.45564","18BL: Bergisches Land","3","6","0","0","0","2018","standalone",,,,,,,,,,,,,
118,"18C2C","8","1","7.51302","18C2C: Manifest Destiny","2","6","600","600","600","2003","standalone",,,,,,,,,,,,,
119,"18CLE","7","","7.25833","18CLE","3","6","270","270","180","2016","standalone",,,,,,,,,,,,,
120,"18CZ","10","21",,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,
122,Three tiers of companies: small, bigger companies can absorb smaller companies, each tier has its own set of trains. Because of the small share limit,"2017","","","standalone","","Fox in the Box","English, German",,,,,,,,,,,,,,
123,"18CZ","10","21","7.97037","18CZ","2","6","250","250","250","2017","standalone",,,,,,,,,,,,,
124,"18Dixie with 18MS and 18GA","9","1","7.56182","18Dixie with 18MS and 18GA","2","6","150","150","120","2015","standalone",,,,,,,,,,,,,
125,"18EC: USA East Coast","9","5","7.8","18EC: USA East Coast","2","6","600","600","240","2005","standalone",,,,,,,,,,,,,
126,"18EU","7","5","5.93608","thing","18EU","2","6","300","300","300","",,,,,,,,,,,,,
127,"18FL","7","4","7.16879","18FL","2","4","150","150","150","2006","standalone",,,,,,,,,,,,,
128,"18FR","7","4","6.80208","18FR","3","6","360","360","360","2009","standalone",,,,,,,,,,,,,
129,"18GA","7","3","7.14837","18GA","3","5","240","240","240","1998","standalone",,,,,,,,,,,,,
130,"18GL","8","4","7.46579","18GL","2","6","300","300","300","2006","standalone",,,,,,,,,,,,,
131,"18Ireland","10","3","7.94734","18Ireland","3","6","240","240","240","2017","standalone",,,,,,,,,,,,,
132,"18Kaas","8","4","7.29545","18Kaas","3","6","240","240","240","1995","standalone",,,,,,,,,,,,,
133,"18Lilliput","8","8","7.45682","18Lilliput","1","4","90","90","60","2018","standalone",,,,,,,,,,,,,
134,"18MEX","9","5","10085638","274","thing","18MEX","3","5","210","210","",,,,,,,,,,,,,
135,"18NEB","8","3","7.5151","18NEB","2","4","180","180","180","2010","standalone",,,,,,,,,,,,,
136,"18NK","7","2","6.7","18NK","3","5","0","0","0","0","standalone",,,,,,,,,,,,,
137,"18NL","8","3","7.325","18NL","3","6","180","180","180","1999","standalone",,,,,,,,,,,,,
138,"18NL: Nederland","7","3","5.54276","thing","18NL","3","6","180","180","180","",,,,,,,,,,,,,
139,"18OE: On the Rails of the Orient Express","10","3","5.89009","thing","18OE: On the Rails of the Orient Express","2","8","720","720","720","",,,,,,,,,,,,,
140,"18PA","8","","7.1725","18PA","3","5","180","180","180","2015","standalone",,,,,,,,,,,,,
141,"18Rhl: Rhineland","8","6","7.19314","18Rhl: Rhineland","3","6","240","240","240","2007","standalone",,,,,,,,,,,,,
142,"18Ruhr","8","1","7.78636","18Ruhr","3","6","300","300","300","2012","standalone",,,,,,,,,,,,,
143,"18Ruhr: Extension 01","8","","7.32","18Ruhr: Extension 01","3","5","300","300","300","2015","expansion",,,,,,,,,,,,,
144,"18SA","6","2","7.40714","18SA","3","6","250","250","250","2015","standalone",,,,,,,,,,,,,
145,"18Scan","9","7","7.35591","18Scan","2","4","180","180","180","2005","standalone",,,,,,,,,,,,,
146,"18SS","8","2",,,,,,,,,,,,,,,,,,,,,,
147,Playable in two hours,"","","","","Loserdogs","Japanese","2008","Japanese First Edition",,,,,,,,,,,,,,,,
148,"18SY","8","","7.83333","18SY","2","7","210","210","210","2011","standalone",,,,,,,,,,,,,
149,"18TN","8","3","6.77241","18TN","3","5","180","180","180","2006","standalone",,,,,,,,,,,,,
150,"18US","7","1","6.83784","18US","2","6","240","240","240","2005","standalone",,,,,,,,,,,,,
151,"18USA","7","","8.77418","18USA","2","7","540","540","420","2018","expansion",,,,,,,,,,,,,
152,"18VA","7","1","7.21529","18VA","2","5","210","210","210","2005","standalone",,,,,,,,,,,,,
153,"18West","7","1","7.11204","18West","2","6","360","360","360","2007","standalone",,,,,,,,,,,,,
154,"1911 Amundsen vs Scott","6","","6.7815","1911 Amundsen vs Scott","2","2","20","20","20","2013","standalone",,,,,,,,,,,,,
155,"1911 Amundsen vs Scott: Expansion 4 – Food Depots","6","","6.65143","1911 Amundsen vs Scott: Expansion 4 – Food Depots","2","2","20","20","20","2013","expansion",,,,,,,,,,,,,
156,"1914","6","","5.76241","1914","2","2","360","360","360","1968","standalone",,,,,,,,,,,,,
157,"1969","6","1","15692657","553","thing","1969","2","5","90","90","",,,,,,,,,,,,,
158,"1969: Ricerca Promo 2012","5","","5.978","1969: Research Promo 2012","2","5","60","60","60","2012","expansion",,,,,,,,,,,,,
159,"1984: Animal Farm","6","","5.55696","1984: Animal Farm","3","5","90","90","60","2012","standalone",,,,,,,,,,,,,
160,"1984: Animal Farm – Spiel 2012 promo cards","5","","5.57143","1984: Animal Farm – Spiel 2012 promo cards","0","0","0","0","0","2012","expansion",,,,,,,,,,,,,
161,"1989: Dawn of Freedom","10","4","","487","3335","thing","1989: Dawn of Freedom","2","2","150","",,,,,,,,,,,,,
162,"20 Jahre Darmstadt Spielt","4","","6.97667","20 Jahre Darmstadt Spielt","0","0","0","0","0","2014","expansion",,,,,,,,,,,,,
163,"2038: Tycoons of the Asteroid Belt","9","5","7.09674","2038: Tycoons of the Asteroid Belt","3","6","360","360","360","1995","standalone",,,,,,,,,,,,,
164,"21 Mutinies: Arrr! Edition","8","2", it is not! :meeple:","5.6517","6.68707","2.375","5177","291","thing","21 Mutinies: Arrr! Edition","",,,,,,,,,,,,,
165,"21 Mutinies: Treasures of the Empire","6","","7.19231","21 Mutinies: Treasures of the Empire","2","5","45","45","45","2013","expansion",,,,,,,,,,,,,
166,"2nd Fleet","8","2","7.25855","2nd Fleet","1","2","240","240","240","1986","standalone",,,,,,,,,,,,,
167,"2WW","3","1","4.07059","2WW","2","4","150","150","150","1991","standalone",,,,,,,,,,,,,
168,"3 Dimensional Tic Tac Toe","2","1","5.28397","Qubic","2","6","15","15","15","1974","standalone",,,,,,,,,,,,,
169,"303","5","","6.36172","303","2","2","15","15","15","2010","standalone",,,,,,,,,,,,,
170,"3rd Fleet","9","2","7.29419","3rd Fleet","2","4","180","180","180","1990","standalone",,,,,,,,,,,,,
171,"40 Jahre Trivial Pursuit","9","","7.625","Trivial Pursuit: 40th Anniversary Ruby Edition","2","6","0","0","0","2018","standalone",,,,,,,,,,,,,
172,"5-Minute Dungeon","7","","7.18396","5-Minute Dungeon","2","5","30","30","5","2017","standalone",,,,,,,,,,,,,
173,"500 Poker Chips & Carrying Case","10","","7.09032","Miscellaneous Game Accessory","0","0","0","0","0","0","standalone",,,,,,,,,,,,,
174,"5th Fleet","7","1","7.18741","5th Fleet","2","4","180","180","180","1989","standalone",,,,,,,,,,,,,
175,"6 nimmt!","7","29","6.88817","6 nimmt!","2","10","45","45","45","1994","standalone",,,,,,,,,,,,,
176,"6 nimmt! Jubiläumsedition","7","29","6.88817","6 nimmt!","2","10","45","45","45","2005","standalone",,,,,,,,,,,,,
177,"6 nimmt! Plus","4","","6.65821","6 nimmt! Plus","2","7","45","45","45","2005","expansion",,,,,,,,,,,,,
178,"6 Tage Rennen","7","1","6.88877","6-Tage Rennen","3","8","60","60","60","1986","standalone",,,,,,,,,,,,,
179,"7 Ages","3","2", and I became bored after the first two hours.","6.14775","7.07187","3.9312","1718","1392","thing","7 Ages","",,,,,,,,,,,,,
180,"7 Days of Westerplatte","7","","6.67153","7 Days of Westerplatte","1","4","60","60","45","2013","standalone",,,,,,,,,,,,,
181,"7 Wonders","10","59","11654724","93896","thing","7 Wonders","2","7","30","30","",,,,,,,,,,,,,
182,"7 Wonders Duel","8","3","8.11703","7 Wonders Duel","2","2","30","30","30","2016","standalone",,,,,,,,,,,,,
183,"7 Wonders Duel: Pantheon","7","","8.06925","7 Wonders Duel: Pantheon","2","2","45","45","30","2016","expansion",,,,,,,,,,,,,
184,"7 Wonders Duel: Statue of Liberty","5","","7.39738","7 Wonders Duel: Statue of Liberty","2","2","30","30","30","2016","expansion",,,,,,,,,,,,,
185,"7 Wonders Duel: The Messe Essen Promo Card","5","","6.33531","thing","7 Wonders Duel: The Messe Essen Promo Card","2","2","30","30","30","",,,,,,,,,,,,,
186,"7 Wonders: Armada","6","","8.13629","7 Wonders: Armada","3","7","40","40","40","2018","expansion",,,,,,,,,,,,,
187,"7 Wonders: Babel","5","","7.11877","7 Wonders: Babel","2","7","45","45","45","2014","expansion",,,,,,,,,,,,,
188,"7 Wonders: Catan","5","","7.10508","7 Wonders: Catan","2","7","30","30","30","2011","expansion",,,,,,,,,,,,,
189,"7 Wonders: Cities","8","","7.84484","7 Wonders: Cities","2","8","40","40","40","2012","expansion",,,,,,,,,,,,,
190,"7 Wonders: Cities Anniversary Pack","5","","7.90617","7 Wonders: Cities Anniversary Pack","2","8","40","40","40","2017","expansion",,,,,,,,,,,,,
191,"7 Wonders: Leaders","8","","7.57159","thing","7 Wonders: Leaders","2","7","40","40","40","",,,,,,,,,,,,,
192,"7 Wonders: Leaders Anniversary Pack","7","","7.92761","7 Wonders: Leaders Anniversary Pack","2","7","30","30","30","2017","expansion",,,,,,,,,,,,,
193,"7 Wonders: Leaders – Esteban","6","","7.16555","7 Wonders: Leaders – Esteban","2","7","40","40","40","2012","expansion",,,,,,,,,,,,,
194,"7 Wonders: Leaders – Louis","6","","7.00922","7 Wonders: Leaders – Louis","2","7","40","40","40","2012","expansion",,,,,,,,,,,,,
195,"7 Wonders: Leaders – Nimrod","6","","7.18868","7 Wonders: Leaders – Nimrod","2","7","40","0","40","2014","expansion",,,,,,,,,,,,,
196,"7 Wonders: Leaders – Stevie","5","","6.942","7 Wonders: Leaders – Stevie","2","7","40","40","40","2011","expansion",,,,,,,,,,,,,
197,"7 Wonders: Leaders – Wil","7","","6.93589","7 Wonders: Leaders – Wil","2","7","40","40","40","2014","expansion",,,,,,,,,,,,,
198,"7 Wonders: Manneken Pis","4","","6.76077","7 Wonders: Manneken Pis","2","7","30","30","30","2011","expansion",,,,,,,,,,,,,
199,"7 Wonders: Wonder Pack","8","","7.58986","7 Wonders: Wonder Pack","2","7","30","30","30","2013","expansion",,,,,,,,,,,,,
200,"7.SS-Gebirgs Division ""Prinz Eugen""","7","","7.14286","7.SS-Gebirgs Division ""Prinz Eugen""","2","2","0","0","0","2005","expansion",,,,,,,,,,,,,
201,"7th Fleet","7","1","7.15423","7th Fleet","2","2","120","120","120","1987","standalone",,,,,,,,,,,,,
202,"8-Sided Poker Dice Game","3","5","5","8-Sided Poker Dice Game","1","99","5","5","5","1993","standalone",,,,,,,,,,,,,
203,"878 Vikings: Event Card Expansion Pack","6","","7.56","878 Vikings: Event Card Expansion Pack","2","4","120","120","60","2017","expansion",,,,,,,,,,,,,
204,"878 Vikings: Invasions of England","8","3","","7.57856","2.6","714","3856","thing","878 Vikings: Invasions of England","2","",,,,,,,,,,,,,
205,"878 Vikings: Invasions of England – Viking Age Expansion","4","","46137512","1757","thing","878 Vikings: Invasions of England – Viking Age Expansion","2","4","120","120","",,,,,,,,,,,,,
206,"A la carte","6","4","6.47644","A la carte","2","4","30","30","30","1989","standalone",,,,,,,,,,,,,
207,"Ab die Post!","6","4","5.4752","thing","Ab die Post!","3","6","45","45","45","",,,,,,,,,,,,,
208,"Abalone","5","19","6.44119","Abalone Classic","2","2","30","30","30","1997","standalone",,,,,,,,,,,,,
209,"Abalone Extra Player Marbles Blue","3","","6.50802","Abalone Extra Player Marbles","3","6","20","20","20","0","expansion",,,,,,,,,,,,,
210,"Abalone Extra Player Marbles Green","3","","6.50802","Abalone Extra Player Marbles","3","6","20","20","20","0","expansion",,,,,,,,,,,,,
211,"Abalone Extra Player Marbles Red","3","","6.50802","Abalone Extra Player Marbles","3","6","20","20","20","0","expansion",,,,,,,,,,,,,
212,"Abalone Extra Player Marbles Yellow","3","","6.50802","Abalone Extra Player Marbles","3","6","20","20","20","0","expansion",,,,,,,,,,,,,
213,"Abduction","5","","5.26797","Abduction","2","4","20","20","20","1998","standalone",,,,,,,,,,,,,
214,"Abilene","5","","5.81163","Abilene","3","6","45","45","45","1985","standalone",,,,,,,,,,,,,
215,"Abluxxen","6","8","","779","5540","thing","Linko!","2","5","20","",,,,,,,,,,,,,
216,"Abluxxen: Königskarten","6","","7.196","Abluxxen: Königskarten","2","5","25","25","25","2015","expansion",,,,,,,,,,,,,
217,"Abluxxen: Sonderkarten / Duell","4","","6.82391","Abluxxen: Sonderkarten / Duell","2","5","25","25","25","2014","expansion",,,,,,,,,,,,,
218,"Accused! Getting Away With Murder?","5","","6.23929","Accused! Getting Away With Murder?","2","8","90","90","90","2008","standalone",,,,,,,,,,,,,
219,"Ace of Aces: Balloon Buster","6","","6.24059","Ace of Aces: Balloon Buster","2","2","20","20","20","1985","standalone",,,,,,,,,,,,,
220,"Ace of Aces: Flying Machines","7","1","7.01762","Ace of Aces: Flying Machines","2","2","20","20","20","1983","standalone",,,,,,,,,,,,,
221,"Ace of Aces: Handy Rotary Deluxe Edition","8","3","7.12667","Ace of Aces: Handy Rotary Deluxe Edition","2","2","20","20","20","1986","standalone",,,,,,,,,,,,,
222,"Ace of Aces: Jet Eagles","7","","6.18932","Ace of Aces: Jet Eagles","2","2","20","20","20","1990","standalone",,,,,,,,,,,,,
